idEscola,Escola,Endereço,Bairro,Telefone,RPA,CEP,Latitude,Longitude
1,ALMIRANTE SOARES DUTRA,CAMUTANGA 180 ,CABANGA,8133553880,1,50090380,-8.078802,-34.8952991
2,ANA ROSA FALCAO DE CARVALHO,JOAO LYRA S/N ,SANTO AMARO,8133556546,1,50050550,-27.68806,-48.77861
3,BOLSA ESCOLA MUNICIPAL,GENERAL ABREU E LIMA S/N ,SANTO AMARO,,1,50040210,-27.68806,-48.77861
4,CAP - BLOCO A DEGEP,FREI MATIAS TEVIS S/N ,ILHA DO LEITE,,1,50050470,19.0,-70.66667
5,CAP - BLOCO A DEGRE,FREI MATIAS TEVIS S/N ,ILHA DO LEITE,,1,50050470,19.0,-70.66667
6,CAP - BLOCO B DEGRE,FREI MATIAS TEVIS S/N ,ILHA DO LEITE,,1,50050470,19.0,-70.66667
7,CIDADAO HERBERT DE SOUZA,ARNOBIO MARQUES 310 CAMPUS UPE ,SANTO AMARO,8133554080,1,50100130,-15.51989,167.16235
8,COELHINHO PENSANTE,FATIMA TEIXEIRA S/N ,SANTO AMARO,8133554340,1,50110400,-8.05389,-34.88111
9,CRECHE ESCOLA DEPUTADO ALCIDES TEIXEIRA,1193 ,SANTO AMARO,8133553422,1,50040200,-8.05389,-34.88111
10,DO COQUE,MIRANDOPOLIS 35 COQUE ,ILHA JOANA BEZERRA,8133553636,1,50080320,-8.0715389,-34.900145
11,DO PILAR,RUA DO OCIDENTE S/N ,RECIFE,8133554082,1,50030420,-8.05389,-34.88111
12,DOS COELHOS,DOS COELHOS 591 BOA VISTA ,COELHOS,8133553486,1,50070555,-8.05389,-34.88111
13,DOUTOR ALBERICO DORNELAS CAMARA,CAIS DO APOLO 925 ,RECIFE,8133559216,1,50030903,-8.05389,-34.88111
14,FREI TADEU GLASER,AGAMENON MAGALHAES 600 ,SANTO AMARO,8133553576,1,50110110,-8.05389,-34.88111
15,GENERAL EMIDIO DANTAS BARRETO,DA SAUDADE 303 ,SANTO AMARO,8133554061,1,50100200,-27.68806,-48.77861
16,LUTADORES DO BEM,CORONEL VIRGILIO DE MEDEIROS 269 ,SANTO AMARO,8133556318,1,50110400,-15.51989,167.16235
17,MAEZINHA DO COQUE,GUAPIRAMA S/N ,ILHA JOANA BEZERRA,8132322290,1,50080730,-8.05389,-34.88111
18,NOSSA SENHORA DO PILAR,ALFREDO LISBOA S/N ,RECIFE,8133554528,1,50030260,-8.0578986,-34.8699478
